category_id,category_name,description
1,Film & Animation,Movies and animation content
2,Autos & Vehicles,Cars and transportation
10,Music,Music videos and audio
15,Pets & Animals,Animal content
17,Sports,Sports content
19,Travel & Events,Travel vlogs and events
20,Gaming,Gaming content
22,People & Blogs,Personal vlogs
23,Comedy,Comedy content
24,Entertainment,General entertainment
25,News & Politics,News and current events
26,Howto & Style,Tutorials and lifestyle
27,Education,Educational content
28,Science & Technology,Tech reviews and science
29,Nonprofits & Activism,Nonprofit organizations
